X,Y,OBJECTID,PROJECT_NA,AV_ADD,TOOLTIP,NLA_URL
-118.300553144857,34.102629299994,1,1747 Normandie (Casa Dinivid),1747 N. NORMANDIE AVE.,Project Name: 1747 Normandie (Casa Dinivid)\nAddress: 1747 N. NORMANDIE AVE.,navigatela/reports/affordable_housing.cfm?pk=1
-118.293704019698,34.0508904721028,2,LA Pro II Apts/berendo,1100 S. BERENDO,Project Name: LA Pro II Apts/berendo\nAddress: 1100 S. BERENDO,navigatela/reports/affordable_housing.cfm?pk=2
-118.445462916335,34.1980997198162,3,7020 & 7024 lennox ave apts,7020  N. LENNOX AVE.,Project Name: 7020 & 7024 lennox ave apts\nAddress: 7020  N. LENNOX AVE.,navigatela/reports/affordable_housing.cfm?pk=3
-118.309013228613,33.9430456863208,4,LA Pro II Apts/western,10311 S. WESTERN AVE.,Project Name: LA Pro II Apts/western\nAddress: 10311 S. WESTERN AVE.,navigatela/reports/affordable_housing.cfm?pk=4
-118.290121713704,34.0121955369358,5,LA Pro II Apts/menlo,3977 S. MENLO AVE.,Project Name: LA Pro II Apts/menlo\nAddress: 3977 S. MENLO AVE.,navigatela/reports/affordable_housing.cfm?pk=5
-118.537328663936,34.2026451520749,6,DALEY & Garfield,7249 N. BAIRD AVE.,Project Name: DALEY & Garfield\nAddress: 7249 N. BAIRD AVE.,navigatela/reports/affordable_housing.cfm?pk=6
-118.273887814018,33.9640148440448,7,Sheridan Manor/5,8318 S. MAIN ST.,Project Name: Sheridan Manor/5\nAddress: 8318 S. MAIN ST.,navigatela/reports/affordable_housing.cfm?pk=7
-118.262854490216,34.0562696201352,8,Queen Apts/1,445 S. LUCAS AVE.,Project Name: Queen Apts/1\nAddress: 445 S. LUCAS AVE.,navigatela/reports/affordable_housing.cfm?pk=8
-118.254149842339,33.9397009770225,9,Sheridan Manor/2,10648 S. CENTRAL AVE.,Project Name: Sheridan Manor/2\nAddress: 10648 S. CENTRAL AVE.,navigatela/reports/affordable_housing.cfm?pk=9
-118.265173186992,33.9409266688955,10,Sheridan Manor/1,10510 S. AVALON BLVD.,Project Name: Sheridan Manor/1\nAddress: 10510 S. AVALON BLVD.,navigatela/reports/affordable_housing.cfm?pk=10
-118.220807914766,34.0690496449626,11,343 S. Ave 18 Apts,343 S. AVENUE 18,Project Name: 343 S. Ave 18 Apts\nAddress: 343 S. AVENUE 18,navigatela/reports/affordable_housing.cfm?pk=11
-118.372984973823,34.1708201146468,12,5536 fulcher ave,5536 N. FULCHER AVE.,Project Name: 5536 fulcher ave\nAddress: 5536 N. FULCHER AVE.,navigatela/reports/affordable_housing.cfm?pk=12
-118.315736004028,34.0837596023989,13,Princess Apts/3,722 N. VAN NESS AVE.,Project Name: Princess Apts/3\nAddress: 722 N. VAN NESS AVE.,navigatela/reports/affordable_housing.cfm?pk=13
-118.294708785246,34.0465428563335,14,Royal Apts I-Catalina,1327 S. CATALINA ST.,Project Name: Royal Apts I-Catalina\nAddress: 1327 S. CATALINA ST.,navigatela/reports/affordable_housing.cfm?pk=14
-118.372600514152,34.16204222911,15,"Restrepo, Melinda",11021 W. HESBY ST.,"Project Name: Restrepo, Melinda\nAddress: 11021 W. HESBY ST.",navigatela/reports/affordable_housing.cfm?pk=15
-118.301496067675,34.0320233918673,16,Residence Service Foundation,2628 S. BRIGHTON AVE.,Project Name: Residence Service Foundation\nAddress: 2628 S. BRIGHTON AVE.,navigatela/reports/affordable_housing.cfm?pk=16
-118.306743764317,34.0123066114828,17,Redevelopment Investors V,3963 S. HARVARD BLVD.,Project Name: Redevelopment Investors V\nAddress: 3963 S. HARVARD BLVD.,navigatela/reports/affordable_housing.cfm?pk=17
-118.311560614318,34.0849233852709,18,Queen Apts/4,5217 W. MARATHON ST.,Project Name: Queen Apts/4\nAddress: 5217 W. MARATHON ST.,navigatela/reports/affordable_housing.cfm?pk=18
-118.269221779327,34.0583342975868,19,Queen Apts/3,516 S. UNION AVE.,Project Name: Queen Apts/3\nAddress: 516 S. UNION AVE.,navigatela/reports/affordable_housing.cfm?pk=19
-118.262947734921,34.056115690858,20,Queen Apts/5,451 LUCAS AVE.,Project Name: Queen Apts/5\nAddress: 451 LUCAS AVE.,navigatela/reports/affordable_housing.cfm?pk=20
-118.273887637038,33.9639603922878,21,Sheridan Manor/8,8324 S. MAIN ST.,Project Name: Sheridan Manor/8\nAddress: 8324 S. MAIN ST.,navigatela/reports/affordable_housing.cfm?pk=21
