OBJECTID,REDEVNM,REDEVCODE,ACRES,SQMILES,REGION
1,North Hollywood,NH,743.93053877,1.16238684,East Valley
2,Monterey Hills,MH,215.15006068,0.33617063,Eastside
3,Wilshire Center / Koreatown,WK,1203.29595552,1.88014245,Hollywood & Central
4,Adelante Eastside,EA,2165.70744215,3.38390442,Eastside
5,Chinatown,CH,303.11285522,0.47361195,Downtown
6,Westlake,WL,638.11864643,0.99705641,Hollywood & Central
7,City Center,CT,879.69860032,1.37452359,Downtown
8,Pico Union 2,P2,229.47587308,0.35855462,Hollywood & Central
9,Pico Union 1,P1,153.15745115,0.23930756,Hollywood & Central
10,Central Industrial,CI,743.50302289,1.16171885,Downtown
11,MidCity Corridors,MD,725.39657344,1.13342763,Hollywood & Central
12,CD9,C9,2815.91332663,4.39984707,Downtown
13,Exposition / University Park,HO,574.50870246,0.89766627,South Los Angeles
14,Bunker Hill,BH,137.18861384,0.21435635,Downtown
15,East Hollywood / Beverly-Normandie,EB,651.91903292,1.01861943,Hollywood & Central
16,Rodeo / La Cienega, ,21.6724574,0.03386308,South Los Angeles
17,Crenshaw Amended,CR,205.06916821,0.3204193,South Los Angeles
18,Western / Slauson,WS,376.48588672,0.58825685,South Los Angeles
19,Crenshaw / Slauson,CS,262.2967847,0.40983709,South Los Angeles
20,Vermont Manchester,VM,162.99466678,0.25467815,South Los Angeles
21,Broadway Manchester,MC,188.30838078,0.29423067,South Los Angeles
22,Watts,WA,107.18324897,0.16747316,South Los Angeles
23,Watts Corridors,WC,243.53086867,0.38051546,South Los Angeles
24,Los Angeles Harbor,LA,230.70495422,0.36047505,Harbor
25,Pacific Corridors,PA,686.74811578,1.07303966,Harbor
26,Beacon Street,BS,59.20572415,0.09250857,Harbor
27,Little Tokyo,LT,66.03980256,0.10318678,Downtown
28,Laurel Canyon,LC,272.69708718,0.4260875,East Valley
29,Reseda / Winnetka / Canoga Park,RP,2413.79858872,3.77154529,West Valley
30,Hollywood,HW,1132.04379881,1.7688114,Hollywood & Central
31,Normandie 5,N5,208.20471042,0.32531856,South Los Angeles
32,Pacoima / Panorama City (CD7),PC,4427.54359558,6.91800919597,East Valley
